21;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dgal-HEX-1%3A5%0D%0A4b%3Ab-dglc-HEX-1%3A5%0D%0A5s%3An-acetyl%0D%0A6b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%286%2B1)4d%0D%0A4%3A4d%282%2B1)5n%0D%0A5%3A4o%284%2B1)6d%0D%0A6%3A1o%286%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A;G37653KL
22;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dman-HEX-1%3A5%0D%0A4b%3Aa-dman-HEX-1%3A5%0D%0A5b%3Ab-dglc-HEX-1%3A5%0D%0A6s%3An-acetyl%0D%0A7b%3Ab-dgal-HEX-1%3A5%0D%0A8b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A9s%3An-acetyl%0D%0A10b%3Aa-dman-HEX-1%3A5%0D%0A11b%3Ab-dglc-HEX-1%3A5%0D%0A12s%3An-acetyl%0D%0A13b%3Ab-dgal-HEX-1%3A5%0D%0A14b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A15s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3o%283%2B1)4d%0D%0A4%3A4o%282%2B1)5d%0D%0A5%3A5d%282%2B1)6n%0D%0A6%3A5o%284%2B1)7d%0D%0A7%3A7o%28-1%2B2)8d%0D%0A8%3A8d%285%2B1)9n%0D%0A9%3A3o%286%2B1)10d%0D%0A10%3A10o%282%2B1)11d%0D%0A11%3A11d%282%2B1)12n%0D%0A12%3A11o%284%2B1)13d%0D%0A13%3A13o%28-1%2B2)14d%0D%0A14%3A14d%285%2B1)15n%0D%0A;G30729YJ
23;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ax-dglc-HEX-1%3A5%0D%0A8b%3Ax-dgal-HEX-1%3A5%0D%0A9s%3An-acetyl%0D%0A10b%3Ax-dglc-HEX-1%3A5%0D%0A11b%3Ax-dgal-HEX-1%3A5%0D%0A12b%3Ax-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A13s%3An-glycolyl%0D%0A14s%3An-acetyl%0D%0A15b%3Aa-dman-HEX-1%3A5%0D%0A16b%3Ax-dglc-HEX-1%3A5%0D%0A17b%3Ax-dgal-HEX-1%3A5%0D%0A18b%3Ax-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A19s%3An-glycolyl%0D%0A20s%3An-acetyl%0D%0A21b%3Ax-dglc-HEX-1%3A5%0D%0A22b%3Ax-dgal-HEX-1%3A5%0D%0A23b%3Ax-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A24s%3An-glycolyl%0D%0A25s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283|6%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A7o%28-1%2B1)8d%0D%0A8%3A7d%282%2B1)9n%0D%0A9%3A6o%28-1%2B1)10d%0D%0A10%3A10o%28-1%2B1)11d%0D%0A11%3A11o%28-1%2B2)12d%0D%0A12%3A12d%285%2B1)13n%0D%0A13%3A10d%282%2B1)14n%0D%0A14%3A5o%283|6%2B1)15d%0D%0A15%3A15o%28-1%2B1)16d%0D%0A16%3A16o%28-1%2B1)17d%0D%0A17%3A17o%28-1%2B2)18d%0D%0A18%3A18d%285%2B1)19n%0D%0A19%3A16d%282%2B1)20n%0D%0A20%3A15o%28-1%2B1)21d%0D%0A21%3A21o%28-1%2B1)22d%0D%0A22%3A22o%28-1%2B2)23d%0D%0A23%3A23d%285%2B1)24n%0D%0A24%3A21d%282%2B1)25n%0D%0A;G45249UV
24;;G19840AF
25;RES%0D%0A1b%3Ax-dglc-HEX-1%3A5%0D%0A2b%3Ab-dgal-HEX-1%3A5%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dgal-HEX-1%3A5%0D%0A6b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A7b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0ALIN%0D%0A1%3A1o%284%2B1)2d%0D%0A2%3A2o%283%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%283%2B1)5d%0D%0A5%3A5o%282%2B1)6d%0D%0A6%3A3o%284%2B1)7d%0D%0A;G50540JU
26;RES%0D%0A1b%3Ab-dman-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10s%3An-acetyl%0D%0A11b%3Aa-dman-HEX-1%3A5%0D%0A12b%3Ab-dglc-HEX-1%3A5%0D%0A13s%3An-acetyl%0D%0A14b%3Ab-dgal-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0A16b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9d%282%2B1)10n%0D%0A10%3A5o%286%2B1)11d%0D%0A11%3A11o%282%2B1)12d%0D%0A12%3A12d%282%2B1)13n%0D%0A13%3A12o%284%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A15%3A1o%286%2B1)16d%0D%0A;G32381ON
27;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Aa-dman-HEX-1%3A5%0D%0A10b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7o%282%2B1)8d%0D%0A8%3A5o%286%2B1)9d%0D%0A9%3A9o%283%2B1)10d%0D%0A;G83582BK
28;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A4b%3Ab-dglc-HEX-1%3A5%0D%0A5s%3An-acetyl%0D%0A6b%3Ab-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Aa-dman-HEX-1%3A5%0D%0A10b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A1o%284%2B1)4d%0D%0A4%3A4d%282%2B1)5n%0D%0A5%3A4o%284%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A6o%28-1%2B1)8d%0D%0A8%3A8o%28-1%2B1)9d%0D%0A9%3A1o%286%2B1)10d%0D%0A;G95241IE
29;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Aa-dman-HEX-1%3A5%0D%0A10b%3Aa-dman-HEX-1%3A5%0D%0A11b%3Aa-dman-HEX-1%3A5%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Aa-dman-HEX-1%3A5%0D%0A14b%3Aa-dman-HEX-1%3A5%0D%0A15b%3Aa-dman-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7o%282%2B1)8d%0D%0A8%3A6o%286%2B1)9d%0D%0A9%3A9o%282%2B1)10d%0D%0A10%3A9o%286%2B1)11d%0D%0A11%3A5o%286%2B1)12d%0D%0A12%3A12o%283%2B1)13d%0D%0A13%3A12o%286%2B1)14d%0D%0A14%3A14o%282%2B1)15d%0D%0AUND%0D%0AUND1%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|8|9|10|11|12|13|14|15%0D%0ASubtreeLinkageID1%3Ao%283%2B1)d%0D%0ARES%0D%0A16b%3Aa-dman-HEX-1%3A5%0D%0A;G40537VT
30;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ax-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Ax-dglc-HEX-1%3A5%0D%0A11s%3An-acetyl%0D%0A12b%3Ab-dgal-HEX-1%3A5%0D%0A13b%3Aa-dman-HEX-1%3A5%0D%0A14b%3Ax-dglc-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0A16b%3Ab-dgal-HEX-1%3A5%0D%0A17b%3Ax-dglc-HEX-1%3A5%0D%0A18s%3An-acetyl%0D%0A19b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A6o%28-1%2B1)10d%0D%0A10%3A10d%282%2B1)11n%0D%0A11%3A10o%284%2B1)12d%0D%0A12%3A5o%286%2B1)13d%0D%0A13%3A13o%28-1%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A15%3A14o%284%2B1)16d%0D%0A16%3A13o%28-1%2B1)17d%0D%0A17%3A17d%282%2B1)18n%0D%0A18%3A17o%284%2B1)19d%0D%0AUND%0D%0AUND1%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|9|10|12|13|14|16|17|19%0D%0ASubtreeLinkageID1%3Ao%28-1%2B-1)d%0D%0ARES%0D%0A20b%3Ax-lgal-HEX-1%3A5|6%3Ad%0D%0AUND2%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|9|10|12|13|14|16|17|19%0D%0ASubtreeLinkageID1%3Ao%28-1%2B-1)d%0D%0ARES%0D%0A21b%3Ax-lgal-HEX-1%3A5|6%3Ad%0D%0AUND3%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|9|10|12|13|14|16|17|19%0D%0ASubtreeLinkageID1%3Ao%28-1%2B1)d%0D%0ARES%0D%0A22b%3Ax-dglc-HEX-1%3A5%0D%0A23s%3An-acetyl%0D%0A24b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A19%3A22d%282%2B1)23n%0D%0A20%3A22o%284%2B1)24d%0D%0A;G88555GL
31;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dgal-HEX-1%3A5%0D%0A6b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A7s%3An-acetyl%0D%0A8s%3Asulfate%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B2)6d%0D%0A6%3A6d%285%2B1)7n%0D%0A7%3A3o%286%2B1)8n%0D%0A;G81272FZ
32;;G36172JR
33;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A4b%3Ab-dglc-HEX-1%3A5%0D%0A5s%3An-acetyl%0D%0A6b%3Ab-dman-HEX-1%3A5%0D%0A7b%3Ab-dxyl-PEN-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Ab-dglc-HEX-1%3A5%0D%0A10s%3An-acetyl%0D%0A11b%3Ab-dgal-HEX-1%3A5%0D%0A12b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A13b%3Aa-dman-HEX-1%3A5%0D%0A14b%3Ab-dglc-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0A16b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A1o%284%2B1)4d%0D%0A4%3A4d%282%2B1)5n%0D%0A5%3A4o%284%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A6o%283%2B1)8d%0D%0A8%3A8o%282%2B1)9d%0D%0A9%3A9d%282%2B1)10n%0D%0A10%3A9o%283%2B1)11d%0D%0A11%3A9o%284%2B1)12d%0D%0A12%3A6o%286%2B1)13d%0D%0A13%3A13o%282%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A15%3A14o%283%2B1)16d%0D%0A;G78526LZ
34;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dgal-HEX-1%3A5%0D%0A4b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A5b%3Ab-dglc-HEX-1%3A5%0D%0A6s%3An-acetyl%0D%0A7b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A8b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%282%2B1)4d%0D%0A4%3A1o%286%2B1)5d%0D%0A5%3A5d%282%2B1)6n%0D%0A6%3A5o%283%2B1)7d%0D%0A7%3A5o%284%2B1)8d%0D%0A;G03304QB
35;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ax-dgal-HEX-1%3A5%0D%0A4b%3Ax-dglc-HEX-1%3A5%0D%0A5s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%28-1%2B1)4d%0D%0A4%3A4d%282%2B1)5n%0D%0A;G71165VR
36;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dgal-HEX-1%3A5%0D%0A4b%3Ab-dgal-HEX-1%3A5%0D%0A5b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A6s%3An-glycolyl%0D%0A7b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A8s%3An-glycolyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%284%2B1)4d%0D%0A4%3A1o%286%2B2)5d%0D%0A5%3A5d%285%2B1)6n%0D%0A6%3A5o%288%2B2)7d%0D%0A7%3A7d%285%2B1)8n%0D%0A;G38967LN
37;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ax-dman-HEX-1%3A5%0D%0A8b%3Aa-dman-HEX-1%3A5%0D%0A9b%3Ax-dglc-HEX-1%3A5%0D%0A10s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%28-1%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A5o%28-1%2B1)8d%0D%0A8%3A8o%28-1%2B1)9d%0D%0A9%3A9d%282%2B1)10n%0D%0A;G37664BH
38;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Aa-dgal-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dgal-HEX-1%3A5%0D%0A6b%3Ab-dglc-HEX-1%3A5%0D%0A7s%3An-acetyl%0D%0A8b%3Ab-dgal-HEX-1%3A5%0D%0A9b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A10s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%283%2B1)5d%0D%0A5%3A3o%286%2B1)6d%0D%0A6%3A6d%282%2B1)7n%0D%0A7%3A6o%284%2B1)8d%0D%0A8%3A8o%283%2B2)9d%0D%0A9%3A9d%285%2B1)10n%0D%0A;G02256MB
39;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dgal-HEX-1%3A5%0D%0A4b%3Ab-HEX-1%3A5%0D%0A5s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%28-1%2B1)4d%0D%0A4%3A4d%282%2B1)5n%0D%0A;G02368JK
40;RES%0D%0A1b%3Aa-dman-HEX-1%3A5%0D%0A2b%3Ab-dglc-HEX-1%3A5%0D%0A3s%3An-acetyl%0D%0A4b%3Ab-dgal-HEX-1%3A5%0D%0A5b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A6s%3An-acetyl%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A11s%3An-acetyl%0D%0ALIN%0D%0A1%3A1o%282%2B1)2d%0D%0A2%3A2d%282%2B1)3n%0D%0A3%3A2o%284%2B1)4d%0D%0A4%3A4o%283%2B2)5d%0D%0A5%3A5d%285%2B1)6n%0D%0A6%3A1o%286%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9o%283%2B2)10d%0D%0A10%3A10d%285%2B1)11n%0D%0A;G06953DR
41;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2b%3Ax-lgal-HEX-1%3A5|6%3Ad%0D%0A3s%3An-acetyl%0D%0A4b%3Ab-dglc-HEX-1%3A5%0D%0A5s%3An-acetyl%0D%0A6b%3Ab-dman-HEX-1%3A5%0D%0A7b%3Aa-dman-HEX-1%3A5%0D%0A8b%3Ab-dglc-HEX-1%3A5%0D%0A9s%3An-acetyl%0D%0A10b%3Ab-dgal-HEX-1%3A5%0D%0A11b%3Ab-dglc-HEX-1%3A5%0D%0A12s%3An-acetyl%0D%0A13b%3Ab-dgal-HEX-1%3A5%0D%0A14b%3Aa-dman-HEX-1%3A5%0D%0A15b%3Ab-dglc-HEX-1%3A5%0D%0A16s%3An-acetyl%0D%0A17b%3Ab-dgal-HEX-1%3A5%0D%0A18b%3Ab-dglc-HEX-1%3A5%0D%0A19s%3An-acetyl%0D%0A20b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1o%28-1%2B1)2d%0D%0A2%3A1d%282%2B1)3n%0D%0A3%3A1o%284%2B1)4d%0D%0A4%3A4d%282%2B1)5n%0D%0A5%3A4o%284%2B1)6d%0D%0A6%3A6o%28-1%2B1)7d%0D%0A7%3A7o%282%2B1)8d%0D%0A8%3A8d%282%2B1)9n%0D%0A9%3A8o%284%2B1)10d%0D%0A10%3A7o%286%2B1)11d%0D%0A11%3A11d%282%2B1)12n%0D%0A12%3A11o%284%2B1)13d%0D%0A13%3A6o%28-1%2B1)14d%0D%0A14%3A14o%282%2B1)15d%0D%0A15%3A15d%282%2B1)16n%0D%0A16%3A15o%284%2B1)17d%0D%0A17%3A14o%284%2B1)18d%0D%0A18%3A18d%282%2B1)19n%0D%0A19%3A18o%284%2B1)20d%0D%0A;G10944ZI
42;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A11s%3An-acetyl%0D%0A12b%3Aa-dman-HEX-1%3A5%0D%0A13b%3Ab-dglc-HEX-1%3A5%0D%0A14s%3An-acetyl%0D%0A15b%3Ab-dgal-HEX-1%3A5%0D%0A16b%3Ab-dglc-HEX-1%3A5%0D%0A17s%3An-acetyl%0D%0A18b%3Ab-dgal-HEX-1%3A5%0D%0A19b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A20s%3An-acetyl%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A9o%283%2B2)10d%0D%0A10%3A10d%285%2B1)11n%0D%0A11%3A5o%286%2B1)12d%0D%0A12%3A12o%282%2B1)13d%0D%0A13%3A13d%282%2B1)14n%0D%0A14%3A13o%284%2B1)15d%0D%0A15%3A12o%286%2B1)16d%0D%0A16%3A16d%282%2B1)17n%0D%0A17%3A16o%284%2B1)18d%0D%0A18%3A18o%283%2B2)19d%0D%0A19%3A19d%285%2B1)20n%0D%0A;G73759SD
43;;G25363YF
44;RES%0D%0A1b%3Ab-dglc-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dglc-HEX-1%3A5%0D%0A4s%3An-acetyl%0D%0A5b%3Ab-dman-HEX-1%3A5%0D%0A6b%3Aa-dman-HEX-1%3A5%0D%0A7b%3Ab-dglc-HEX-1%3A5%0D%0A8s%3An-acetyl%0D%0A9b%3Ab-dgal-HEX-1%3A5%0D%0A10b%3Aa-dman-HEX-1%3A5%0D%0A11b%3Ab-dglc-HEX-1%3A5%0D%0A12s%3An-acetyl%0D%0A13b%3Ab-dgal-HEX-1%3A5%0D%0A14b%3Ab-dglc-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0A16b%3Ab-dgal-HEX-1%3A5%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%284%2B1)3d%0D%0A3%3A3d%282%2B1)4n%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%283%2B1)6d%0D%0A6%3A6o%282%2B1)7d%0D%0A7%3A7d%282%2B1)8n%0D%0A8%3A7o%284%2B1)9d%0D%0A9%3A5o%286%2B1)10d%0D%0A10%3A10o%282%2B1)11d%0D%0A11%3A11d%282%2B1)12n%0D%0A12%3A11o%284%2B1)13d%0D%0A13%3A10o%286%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A15%3A14o%284%2B1)16d%0D%0AUND%0D%0AUND1%3A100.0%3A100.0%0D%0AParentIDs%3A1|3|5|6|7|9|10|11|13|14|16%0D%0ASubtreeLinkageID1%3Ao%28-1%2B-1)d%0D%0ARES%0D%0A17b%3Ax-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A18s%3An-acetyl%0D%0ALIN%0D%0A16%3A17d%285%2B1)18n%0D%0A;G68866GS
45;RES%0D%0A1b%3Aa-dgal-HEX-1%3A5%0D%0A2s%3An-acetyl%0D%0A3b%3Ab-dgal-HEX-1%3A5%0D%0A4b%3Aa-dgro-dgal-NON-2%3A6|1%3Aa|2%3Aketo|3%3Ad%0D%0A5b%3Ab-dgal-HEX-1%3A5%0D%0A6b%3Aa-dglc-HEX-1%3A5%0D%0A7s%3An-acetyl%0D%0A8b%3Ab-dglc-HEX-1%3A5%0D%0A9s%3An-acetyl%0D%0A10b%3Ab-dglc-HEX-1%3A5%0D%0A11s%3An-acetyl%0D%0A12b%3Ab-dgal-HEX-1%3A5%0D%0A13b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0A14b%3Aa-dglc-HEX-1%3A5%0D%0A15s%3An-acetyl%0D%0A16b%3Aa-lgal-HEX-1%3A5|6%3Ad%0D%0ALIN%0D%0A1%3A1d%282%2B1)2n%0D%0A2%3A1o%283%2B1)3d%0D%0A3%3A3o%283%2B2)4d%0D%0A4%3A3o%284%2B1)5d%0D%0A5%3A5o%284%2B1)6d%0D%0A6%3A6d%282%2B1)7n%0D%0A7%3A1o%286%2B1)8d%0D%0A8%3A8d%282%2B1)9n%0D%0A9%3A8o%283%2B1)10d%0D%0A10%3A10d%282%2B1)11n%0D%0A11%3A10o%284%2B1)12d%0D%0A12%3A12o%282%2B1)13d%0D%0A13%3A12o%284%2B1)14d%0D%0A14%3A14d%282%2B1)15n%0D%0A15%3A8o%284%2B1)16d%0D%0A;G33138HH
